method,kind,ndcg,book_ndcg,revenue,iterations
lambdaloss,baseline,0.381586808971581,0.39656983194494666,0.3479607762257301,
lambdamart_default,baseline,0.42302324147918524,0.447378576824717,0.3960448836440401,
lambdamart_optuna,baseline,0.43295596251336294,0.4576379058373763,0.425843978703572,
posthoc_retune_best_program,baseline,0.4351851207692013,0.4601534369207386,0.4088135398035294,
posthoc_retune_no_adaptive,baseline,0.4353280961154809,0.45857352264140283,0.40551572529750135,
random_search_s0,baseline,0.4300815086917297,0.45061294122293066,0.4027877766746037,
mem_off_s0,evolution,0.4317289692835514,0.45228606523106757,0.41088906377081363,44
mem_off_s1,evolution,0.43021971069330095,0.45024340490281833,0.40435942499641986,40
mem_off_s2,evolution,0.4305456302644036,0.45524298478015274,0.40780406330672525,40
mem_on_s0,evolution,0.4289331409499615,0.45554111270583053,0.41800014922148104,41
mem_on_s1,evolution,0.43251170571301145,0.45587331490326394,0.40953432297408815,40
mem_on_s2,evolution,0.4308288446022294,0.45280742597384044,0.41061212665903496,40
pipeline_s0,evolution,0.4356379553999852,0.4595446298650472,0.42585026837722084,50
pipeline_s1,evolution,0.4358928300338756,0.4613814616227078,0.4289888680029238,50
pipeline_s2,evolution,0.4398464840271819,0.463415804190431,0.42433406902703774,50
pipeline_smoke,evolution,0.43574814420613545,0.4604384037758047,0.43092483493747136,3
probe_diag_s0,evolution,0.4253688994171839,0.44758763256928213,0.4122048599475384,40
probe_diag_s1,evolution,0.42564008125491776,0.4492562021684126,0.4176101620086346,40
probe_diag_s2,evolution,0.42643546578603825,0.4524621153529671,0.41798107425299763,40
probe_scores_s0,evolution,0.42648616956717017,0.45205345093474153,0.41697752511821556,40
probe_scores_s1,evolution,0.42560195942075535,0.4492923675619474,0.4165884604493504,40
probe_scores_s2,evolution,0.4264797710758653,0.4507460514656682,0.416093739806881,40
smoke,evolution,0.4256352432807093,0.44578576097814937,0.4080824435622813,3
val_mem_off,evolution,0.4290200405104192,0.4498594800448241,0.40633384568639735,12
val_mem_on,evolution,0.42759439245023984,0.4522621687241845,0.40547891496154154,12
