run,checkpoint,program_sha,fold,ndcg,book_ndcg,revenue
mem_on_s0,5,6e82fcd508,fast_val,0.423724,0.446213,0.411436
mem_on_s0,5,6e82fcd508,full_test,0.422268,0.444121,0.419386
mem_on_s0,10,6e82fcd508,fast_val,0.423724,0.446213,0.411436
mem_on_s0,10,6e82fcd508,full_test,0.422268,0.444121,0.419386
mem_on_s0,15,6e82fcd508,fast_val,0.423724,0.446213,0.411436
mem_on_s0,15,6e82fcd508,full_test,0.422268,0.444121,0.419386
mem_on_s0,20,6e82fcd508,fast_val,0.423724,0.446213,0.411436
mem_on_s0,20,6e82fcd508,full_test,0.422268,0.444121,0.419386
mem_on_s0,25,6e82fcd508,fast_val,0.423724,0.446213,0.411436
mem_on_s0,25,6e82fcd508,full_test,0.422268,0.444121,0.419386
mem_on_s0,30,44355c733f,fast_val,0.423724,0.446213,0.411436
mem_on_s0,30,44355c733f,full_test,0.422268,0.444121,0.419386
mem_on_s0,35,6e82fcd508,fast_val,0.423724,0.446213,0.411436
mem_on_s0,35,6e82fcd508,full_test,0.422268,0.444121,0.419386
mem_on_s0,40,e3341d4246,fast_val,0.420211,0.445743,0.415533
mem_on_s0,40,e3341d4246,full_test,0.422917,0.445518,0.422341
mem_on_s1,5,907941f85b,fast_val,0.420015,0.443089,0.408818
mem_on_s1,5,907941f85b,full_test,0.421316,0.442626,0.416565
mem_on_s1,10,907941f85b,fast_val,0.420015,0.443089,0.408818
mem_on_s1,10,907941f85b,full_test,0.421316,0.442626,0.416565
mem_on_s1,15,907941f85b,fast_val,0.420015,0.443089,0.408818
mem_on_s1,15,907941f85b,full_test,0.421316,0.442626,0.416565
mem_on_s1,20,907941f85b,fast_val,0.420015,0.443089,0.408818
mem_on_s1,20,907941f85b,full_test,0.421316,0.442626,0.416565
mem_on_s1,25,907941f85b,fast_val,0.420015,0.443089,0.408818
mem_on_s1,25,907941f85b,full_test,0.421316,0.442626,0.416565
mem_on_s1,30,907941f85b,fast_val,0.420015,0.443089,0.408818
mem_on_s1,30,907941f85b,full_test,0.421316,0.442626,0.416565
mem_on_s1,35,907941f85b,fast_val,0.420015,0.443089,0.408818
mem_on_s1,35,907941f85b,full_test,0.421316,0.442626,0.416565
mem_on_s1,40,98d6d59727,fast_val,0.422659,0.444289,0.409845
mem_on_s1,40,98d6d59727,full_test,0.422195,0.444498,0.412090
mem_on_s2,5,aa4ce7e8fe,fast_val,0.421885,0.444568,0.410854
mem_on_s2,5,aa4ce7e8fe,full_test,0.422634,0.444954,0.419891
mem_on_s2,10,aa4ce7e8fe,fast_val,0.421885,0.444568,0.410854
mem_on_s2,10,aa4ce7e8fe,full_test,0.422634,0.444954,0.419891
mem_on_s2,15,ce817ebc2f,fast_val,0.421885,0.444568,0.410854
mem_on_s2,15,ce817ebc2f,full_test,0.422634,0.444954,0.419891
mem_on_s2,20,ce817ebc2f,fast_val,0.421885,0.444568,0.410854
mem_on_s2,20,ce817ebc2f,full_test,0.422634,0.444954,0.419891
mem_on_s2,25,ce817ebc2f,fast_val,0.421885,0.444568,0.410854
mem_on_s2,25,ce817ebc2f,full_test,0.422634,0.444954,0.419891
mem_on_s2,30,ce817ebc2f,fast_val,0.421885,0.444568,0.410854
mem_on_s2,30,ce817ebc2f,full_test,0.422634,0.444954,0.419891
mem_on_s2,35,5b07790558,fast_val,0.421885,0.444568,0.410854
mem_on_s2,35,5b07790558,full_test,0.422634,0.444954,0.419891
mem_on_s2,40,5b07790558,fast_val,0.421885,0.444568,0.410854
mem_on_s2,40,5b07790558,full_test,0.422634,0.444954,0.419891
mem_off_s0,5,8992289c2c,fast_val,0.422663,0.446637,0.414482
mem_off_s0,5,8992289c2c,full_test,0.421608,0.444060,0.415017
mem_off_s0,10,1f536620b6,fast_val,0.421748,0.444881,0.410406
mem_off_s0,10,1f536620b6,full_test,0.423204,0.445218,0.411729
mem_off_s0,15,a9fc383448,fast_val,0.422497,0.445316,0.407486
mem_off_s0,15,a9fc383448,full_test,0.421461,0.442867,0.412270
mem_off_s0,20,a9fc383448,fast_val,0.422497,0.445316,0.407486
mem_off_s0,20,a9fc383448,full_test,0.421461,0.442867,0.412270
mem_off_s0,25,a9fc383448,fast_val,0.422497,0.445316,0.407486
mem_off_s0,25,a9fc383448,full_test,0.421461,0.442867,0.412270
mem_off_s0,30,a9fc383448,fast_val,0.422497,0.445316,0.407486
mem_off_s0,30,a9fc383448,full_test,0.421461,0.442867,0.412270
mem_off_s0,35,a9fc383448,fast_val,0.422497,0.445316,0.407486
mem_off_s0,35,a9fc383448,full_test,0.421461,0.442867,0.412270
mem_off_s0,40,a9fc383448,fast_val,0.422497,0.445316,0.407486
mem_off_s0,40,a9fc383448,full_test,0.421461,0.442867,0.412270
mem_off_s1,5,ef3f9039b7,fast_val,0.422786,0.445038,0.409587
mem_off_s1,5,ef3f9039b7,full_test,0.422759,0.444526,0.412881
mem_off_s1,10,f6a6f4cc6c,fast_val,0.422009,0.446247,0.413708
mem_off_s1,10,f6a6f4cc6c,full_test,0.423891,0.446171,0.421416
mem_off_s1,15,f6a6f4cc6c,fast_val,0.422009,0.446247,0.413708
mem_off_s1,15,f6a6f4cc6c,full_test,0.423891,0.446171,0.421416
mem_off_s1,20,f6a6f4cc6c,fast_val,0.422009,0.446247,0.413708
mem_off_s1,20,f6a6f4cc6c,full_test,0.423891,0.446171,0.421416
mem_off_s1,25,4ef35fdfe9,fast_val,0.421653,0.445616,0.417606
mem_off_s1,25,4ef35fdfe9,full_test,0.423378,0.445538,0.420966
mem_off_s1,30,4ef35fdfe9,fast_val,0.421653,0.445616,0.417606
mem_off_s1,30,4ef35fdfe9,full_test,0.423378,0.445538,0.420966
mem_off_s1,35,4ef35fdfe9,fast_val,0.421653,0.445616,0.417606
mem_off_s1,35,4ef35fdfe9,full_test,0.423378,0.445538,0.420966
mem_off_s1,40,4ef35fdfe9,fast_val,0.421653,0.445616,0.417606
mem_off_s1,40,4ef35fdfe9,full_test,0.423378,0.445538,0.420966
mem_off_s2,5,c377cccf24,fast_val,0.426867,0.449896,0.413650
mem_off_s2,5,c377cccf24,full_test,0.420839,0.442379,0.413858
mem_off_s2,10,63aeea6f16,fast_val,0.422617,0.443792,0.406771
mem_off_s2,10,63aeea6f16,full_test,0.422380,0.444278,0.413903
mem_off_s2,15,63aeea6f16,fast_val,0.422617,0.443792,0.406771
mem_off_s2,15,63aeea6f16,full_test,0.422380,0.444278,0.413903
mem_off_s2,20,63aeea6f16,fast_val,0.422617,0.443792,0.406771
mem_off_s2,20,63aeea6f16,full_test,0.422380,0.444278,0.413903
mem_off_s2,25,63aeea6f16,fast_val,0.422617,0.443792,0.406771
mem_off_s2,25,63aeea6f16,full_test,0.422380,0.444278,0.413903
mem_off_s2,30,63aeea6f16,fast_val,0.422617,0.443792,0.406771
mem_off_s2,30,63aeea6f16,full_test,0.422380,0.444278,0.413903
mem_off_s2,35,19ac7529a8,fast_val,0.422617,0.443792,0.406771
