method,kind,front_size,hypervolume,best_ndcg,best_book_ndcg,best_revenue
lambdamart_optuna,baseline,1,0.0003598794731258772,0.43816729712539915,0.4643512446806789,0.42325669419045275
posthoc_retune_best_program,baseline,1,0.00026465458290288006,0.4351851207692013,0.4601534369207386,0.4088135398035294
mem_on_s1,evolution,2,0.00025692470751532325,0.43251170571301145,0.45587331490326394,0.4151646871842243
mem_on_s0,evolution,1,0.0002512814893351079,0.4289331409499615,0.45554111270583053,0.41800014922148104
mem_off_s0,evolution,3,0.0002491922874893474,0.4317289692835514,0.4545919646767029,0.4149385563460626
mem_on_s2,evolution,2,0.0002482889513789753,0.4308288446022294,0.454837570113123,0.4154418372427704
mem_off_s2,evolution,3,0.0002329630332244496,0.4305456302644036,0.45524298478015274,0.4111818887000801
val_mem_off,evolution,4,0.00021763213710599682,0.4290200405104192,0.4522621687241845,0.41210131369398967
mem_off_s1,evolution,4,0.00020687854775173296,0.43021971069330095,0.45066359964414904,0.4085763974777161
val_mem_on,evolution,3,0.0002007868241461333,0.42759439245023984,0.4522621687241845,0.40811336501041245
random_search_s0,baseline,1,0.00018896318614150824,0.4300815086917297,0.45061294122293066,0.4027877766746037
smoke,evolution,2,0.00017920894903287514,0.4256352432807093,0.4477430946187746,0.4080824435622813
lambdamart_default,baseline,1,0.0001375705971301537,0.42302324147918524,0.447378576824717,0.3960448836440401
lambdaloss,baseline,1,1.2500000000000034e-07,0.381586808971581,0.39656983194494666,0.3479607762257301
